Brand,Color,Price,no_of_star,rating,discount,Model,Ton,annual_electricity_Consumption
Voltas,White,32490,3,4.2,48.0,2023,1.5,624.48
SAMSUNG,White,30490,3,4.2,51.0,,1.5,1123.77
Daikin,White,25999,3,4.1,30.0,2023,0.8,
Haier,,31990,3,4,50.0,2023,1.5,686.48
Whirlpool,,37990,5,3.9,46.0,2023,1.5,
Godrej,,29490,3,4.1,31.0,2023,,
Blue,,28999,3,4.2,30.0,2023,0.8,
Voltas,White,39490,5,4.2,48.0,2023,1.5,704.42
Blue,,35900,3,4.2,42.0,2023,1.5,1134.28
Daikin,White,37999,3,4.2,34.0,2023,1.5,589.14
Panasonic,,36490,3,4.3,34.0,2023,1.5,1015.62
Godrej,,34490,4,4.1,31.0,2023,1.5,
LG,,31490,5,4.2,49.0,,,968.61
Lloyd,White,33499,3,4.2,44.0,2023,1.5,
Whirlpool,,34490,4,3.9,48.0,2023,1.5,1114.71
Voltas,White,28200,3,4.1,34.0,,1.5,1049.79
SAMSUNG,White,35490,3,4.1,41.0,2023,1.5,752.43
Daikin,White,45490,5,4.2,32.0,2023,1.5,1123.23
Voltas,White,25999,3,4.1,46.0,,0.75,577.43
Lloyd,White,39990,5,4.2,41.0,2023,1.5,824.08
Godrej,White,26149,3,3.9,37.0,2023,1.5,1050.84
LG,White,35990,3,3.9,55.0,2023,1.5,1123.23
Godrej,,37990,5,4,30.0,2023,1.5,624.48
Whirlpool,,27490,3,3.9,50.0,2023,0.8,962.49
Blue,,32690,3,4.2,36.0,2023,,624.48
CARRIER,White,33490,5,4.1,49.0,,1.2,1123.77
CARRIER,White,23990,3,4.2,35.0,,,
SAMSUNG,White,38990,5,4.2,40.0,,1.5,686.48
Daikin,White,32990,3,4.2,31.0,2023,,
Blue,,43990,5,4.2,39.0,2023,1.5,
Blue,,35990,5,4.2,48.0,,1.5,
Panasonic,,44490,5,4.3,29.0,2023,1.5,704.42
ONIDA,White,31490,3,4.2,49.0,,1.5,1134.28
Whirlpool,,32990,3,3.9,47.0,2023,1.5,589.14
Whirlpool,White,31990,5,4.1,47.0,2023,,1015.62
Haier,,30999,3,4,48.0,2023,1.3,
SAMSUNG,W,36490,3,4,41.0,2023,1.5,968.61
Whirlpool,,32790,3,3.9,47.0,2023,1.5,
IFB,White,35490,5,4.2,34.0,,1.5,1114.71
SAMSUNG,White,38990,4,4.1,40.0,2023,1.5,1049.79
Haier,,39490,5,4,44.0,2023,1.5,752.43
Godrej,,32490,3,4.1,30.0,2023,1.5,1123.23
Voltas,White,39490,5,4.1,48.0,2023,1.5,577.43
Lloyd,White,32990,3,4.2,45.0,,1.5,824.08
LG,,36990,3,4.2,53.0,2023,1.5,1050.84
Voltas,White,26639,3,4,33.0,,,1123.23
Godrej,White,31313,3,4,31.0,,1.5,624.48
Blue,,35990,3,4.2,41.0,2023,1.5,962.49
Haier,,32990,2,4.1,44.0,2023,1.5,624.48
LG,,33490,5,4.2,46.0,,,1123.77
Voltas,White,30490,3,4.2,49.0,2023,1.2,
LG,White,33990,3,4.1,48.0,2023,1.5,686.48
realme,,30490,4,4.1,44.0,,1.5,
Panasonic,White,19999,5,,39.0,,,
Blue,White,24990,3,4.1,16.0,2023,0.8,
Voltas,White,35470,5,4.1,29.0,2023,1.5,704.42
Godrej,White,36990,3,3.9,47.0,,,1134.28
Godrej,,33490,5,4.1,31.0,2023,,589.14
CANDY,White,27490,3,4,49.0,2023,,1015.62
realme,White,29999,4,4.1,43.0,,1.5,
Voltas,White,31499,3,4.2,32.0,2023,1.5,968.61
Panasonic,White,28990,3,4.3,39.0,,,
MarQ,,28990,3,4.1,43.0,,1.5,1114.71
LG,,35990,3,4.1,47.0,2023,1.5,1049.79
CARRIER,,30990,3,4.1,45.0,2023,,752.43
Lloyd,White,37999,3,4.2,41.0,2023,1.5,1123.23
realme,,32999,5,4.1,45.0,,1.5,577.43
LG,,44490,5,4.1,41.0,2023,1.5,824.08
CARRIER,White,37999,4,4.1,45.0,2023,1.5,1050.84
MarQ,,25990,3,4.1,42.0,,0.8,1123.23
LG,,34999,3,4.1,49.0,,1.5,624.48
LG,,44490,5,4.1,48.0,2023,1.5,962.49
Panasonic,White,39933,4,4.1,42.0,,1.5,624.48
realme,,29490,5,4.1,42.0,,,1123.77
Hitachi,White,31984,,3.9,46.0,,,
Voltas,White,34490,5,4.2,31.0,,1.5,686.48
MarQ,,30999,4,4.1,42.0,,1.5,
Daikin,White,36999,3,4.1,36.0,,1.5,
CARRIER,,36999,5,4.1,44.0,2023,1.2,
realme,,28999,4,4.1,43.0,,1.2,704.42
SAMSUNG,Whi,32990,3,4,35.0,2023,,1134.28
Thomson,White,26499,2,4.1,28.0,2023,,589.14
Hitachi,White,28990,3,4.1,18.0,2023,1.5,1015.62
NU,White,29990,3,3.6,39.0,2023,1.5,
Panasonic,White,41990,5,4.1,33.0,,1.5,968.61
Panasonic,,35490,3,4.1,34.0,2023,1.5,
Haier,,36490,4,3.7,42.0,2023,,1114.71
MarQ,,28990,3,4.1,45.0,,1.5,1049.79
realme,,27999,4,4.1,42.0,,,752.43
Blue,White,33990,3,4.2,40.0,2023,1.3,1123.23
Voltas,White,32439,3,4.2,50.0,,1.5,577.43
CARRIER,,45999,5,4,43.0,2023,1.5,824.08
Hitachi,,55990,4,3.9,41.0,2023,1.8,1050.84
Blue,,32990,3,4.2,42.0,2023,1.2,1123.23
Hitachi,White,35499,3,,42.0,2023,1.5,624.48
Godrej,,48990,5,4.2,28.0,2023,,962.49
Whirlpool,,32690,5,3.9,49.0,2023,,624.48
LG,,33990,3,4.1,50.0,2023,1.2,1123.77
ONIDA,White,29490,5,4.2,45.0,,,
SAMSUNG,White,42500,5,4.1,41.0,2023,1.5,686.48
Hitachi,White,37199,3,4.3,41.0,2023,1.5,
SAMSUNG,White,39490,5,4.2,41.0,,1.5,
Panasonic,White,44511,3,4.3,35.0,,,
Panasonic,White,35576,5,4.1,34.0,,,704.42
Midea,,27999,3,4,46.0,2023,,1134.28
Daikin,White,46499,5,4.2,34.0,,1.5,589.14
SAMSUNG,W,44499,5,4,39.0,2023,1.5,1015.62
Whirlpool,,41990,3,3.9,46.0,2023,,
IFB,,43990,5,4.2,25.0,2023,1.5,968.61
Midea,,35990,5,4,47.0,2023,1.5,
Panasonic,,50990,3,4.3,26.0,2023,,1114.71
Haier,,36999,4,4,47.0,2023,1.5,1049.79
Lloyd,White,39999,5,4.2,41.0,2023,1.5,752.43
LG,,49990,5,4.1,39.0,2023,1.5,1123.23
Panasonic,,33490,3,4.3,30.0,2023,,577.43
Voltas,White,28734,3,4.2,56.0,,1.6,824.08
Lloyd,White,27999,2,4.2,40.0,2023,,1050.84
Thomson,,30499,3,4,30.0,2023,1.5,1123.23
Daikin,White,40380,3,4.1,27.0,,1.5,624.48
Godrej,White,41409,3,,26.0,,,962.49
SAMSUNG,White,33999,3,4.1,35.0,2023,,624.48
Blue,White,26990,3,4.1,18.0,2023,,1123.77
Lloyd,White,34999,5,4.2,44.0,2023,1.2,
CARRIER,,41999,5,4.1,44.0,2023,1.5,686.48
Daikin,White,37999,5,4.2,31.0,2023,,
IFB,,37490,3,4.2,25.0,2023,1.5,
Blue,White,31990,3,,37.0,2023,,
SAMSUNG,White,45499,5,4.1,38.0,2023,1.5,704.42
Lloyd,White,36499,4,4.2,42.0,2023,1.5,1134.28
Voltas,White,30470,3,3.7,46.0,,,589.14
Godrej,White,39490,5,4.2,23.0,,1.5,1015.62
Godrej,White,33990,3,3.9,29.0,2023,1.5,
Hitachi,,31999,3,3.9,41.0,2023,,968.61
Voltas,White,44999,3,4.2,43.0,2023,,
Daikin,White,46499,5,4.2,34.0,,1.5,1114.71
CARRIER,,37999,3,4,47.0,2023,1.5,1049.79
Panasonic,,41990,5,4.1,34.0,2023,,752.43
CARRIER,White,35589,5,4.3,53.0,,1.5,1123.23
SAMSUNG,White,36999,3,4.1,40.0,2023,1.5,577.43
Blue,White,33490,5,4.2,43.0,,,824.08
TOSHIBA,White,34490,3,4,36.0,,1.5,1050.84
LG,,33990,3,4.1,50.0,2023,1.2,1123.23
LG,,33490,3,4.1,42.0,2023,,624.48
ONIDA,White,34999,5,4.2,43.0,,1.5,962.49
Lloyd,White,28490,3,4.2,38.0,,,624.48
Voltas,White,47999,3,4.3,41.0,2023,,1123.77
Panasonic,,40490,4,4.3,31.0,2023,1.5,
SAMSUNG,Whi,50999,3,4,39.0,2023,,686.48
Voltas,White,32999,3,4.1,52.0,,1.5,
Voltas,White,55499,5,4.2,40.0,2023,,
LG,,46990,5,4.4,51.0,2023,1.5,
Voltas,White,32780,3,3.9,49.0,,1.5,704.42
Blue,White,35990,5,4.1,19.0,2023,1.5,1134.28
Godrej,White,45490,3,3.9,26.0,2023,,589.14
LG,,44490,5,4.2,45.0,2023,1.5,1015.62
Voltas,White,44600,5,4.2,40.0,,1.5,
Panasonic,,35490,4,4.3,29.0,2023,,968.61
IFB,,38490,3,4.2,25.0,2023,1.5,
Lloyd,White,30499,3,4.3,41.0,,1.2,1114.71
SAMSUNG,White,31500,3,4.1,38.0,2023,,1049.79
Hitachi,,31999,3,3.9,41.0,2023,,752.43
CANDY,White,32990,5,4,45.0,2023,,1123.23
Godrej,,30490,3,4.2,34.0,2023,1.5,577.43
TOSHIBA,White,34490,3,4,36.0,,1.5,824.08
Panasonic,,43990,3,4.1,28.0,2023,1.5,1050.84
CANDY,White,27990,4,4,51.0,2023,,1123.23
IFB,,48490,3,4.2,23.0,2023,,624.48
Panasonic,White,32990,3,4.3,40.0,,1.5,962.49
Godrej,White,31900,3,4.1,31.0,,1.5,624.48
LG,,50990,3,4.1,40.0,2023,,1123.77
Lloyd,White,42790,5,4.2,29.0,,1.5,
Voltas,White,28734,3,4.2,56.0,,1.6,686.48
Blue,,34990,4,4.2,41.0,2023,,
Blue,White,50999,3,3.8,29.0,,,
CARRIER,White,28990,3,4.1,47.0,,0.8,
Haier,,44990,5,4,37.0,2023,1.6,704.42
Panasonic,White,36401,3,4.1,40.0,,1.5,1134.28
CARRIER,White,38990,3,4.3,39.0,,1.5,589.14
Whirlpool,,29990,3,3.9,48.0,2023,,1015.62
IFB,,42990,5,4.3,25.0,2023,1.5,
Lloyd,White,29490,3,4.1,38.0,2023,1.5,968.61
Blue,White,47490,5,4.9,20.0,2023,1.5,
Panasonic,,65990,5,4.3,24.0,2023,,1114.71
SAMSUNG,White,26951,3,4.2,53.0,,1.5,1049.79
CARRIER,,44990,3,4.3,42.0,,,752.43
Lloyd,White,32799,5,3.9,40.0,2023,1.5,1123.23
Voltas,White,32699,5,4.2,59.0,,1.6,577.43
Lloyd,White,26490,3,4.3,36.0,,0.8,824.08
CARRIER,White,27999,3,4.3,28.0,,,1050.84
Voltas,White,33799,3,3.9,17.0,,1.5,1123.23
Panasonic,White,34658,5,4.1,43.0,,,624.48
Lloyd,White,32999,2,4.1,44.0,2023,1.5,962.49
Godrej,,42990,3,4.1,29.0,2023,,624.48
LG,,32999,5,4.1,42.0,2023,,1123.77
Frigidaire,White,30999,3,3.3,46.0,2023,1.5,
Lloyd,White,31490,3,4.2,42.0,2023,1.2,686.48
Blue,,40990,4,4.2,41.0,2023,1.5,
Lloyd,White,35499,3,4.2,42.0,,1.5,
Lloyd,White,29999,3,4.3,33.0,,,
Daikin,White,43990,1,3.3,28.0,,1.8,704.42
LG,,43490,5,4.2,36.0,2023,,1134.28
LG,,49490,5,4.1,39.0,2023,1.5,589.14
Blue,,30990,2,4.2,29.0,2023,,1015.62
MarQ,,26499,3,4.1,43.0,,,
Haier,White,30990,3,5,47.0,,,968.61
LG,,39990,4,4.1,51.0,2023,1.5,
Lloyd,White,33990,3,4,44.0,,1.5,1114.71
Hitachi,,37205,3,4,33.0,2023,1.5,1049.79
MarQ,,24999,3,4.1,43.0,,0.7,752.43
LG,White,46990,4,4.1,38.0,2023,,1123.23
Daikin,White,37590,3,4,32.0,,1.5,577.43
Blue,White,33999,5,4.1,10.0,2023,,824.08
Hitachi,White,39990,,3.9,38.0,,,1050.84
Lloyd,White,31499,3,3.7,29.0,,,1123.23
Thomson,White,39999,3,4,29.0,2023,,624.48
CARRIER,,50990,3,4.1,36.0,2023,,962.49
Blue,,35954,,3.8,7.0,,,624.48
NU,White,33990,5,3.6,39.0,2023,1.5,1123.77
CANDY,White,26990,3,5,30.0,2023,1.5,
Haier,,52990,3,4,40.0,2023,,686.48
Hitachi,,37490,3,3.9,40.0,2023,1.5,
Thomson,White,39999,3,4,29.0,2023,,
Blue,,30990,3,4.2,31.0,2023,0.9,
LG,White,42140,5,4,29.0,,1.5,704.42
Panasonic,,65990,5,4.3,24.0,2023,,1134.28
Hitachi,White,39990,,3.9,38.0,,,589.14
Haier,,33999,5,4,47.0,2023,,1015.62
LG,,31790,3,4,47.0,,1.5,
Daikin,White,43490,3,3.9,29.0,,1.5,968.61
Midea,White,26990,3,4,46.0,2023,0.8,
Panasonic,White,33486,5,4.4,32.0,,,1114.71
Midea,,33999,3,4,44.0,2023,1.5,1049.79
Midea,,41999,3,4,41.0,2023,,752.43
Frigidaire,White,30999,3,3.3,46.0,2023,1.5,1123.23
Panasonic,,43990,4,4.1,34.0,2023,1.5,577.43
Godrej,White,29292,3,4.6,30.0,2023,,824.08
LG,,40490,5,4.2,38.0,2023,,1050.84
Panasonic,,37990,5,4.3,30.0,2023,,1123.23
SAMSUNG,,47500,5,4.2,37.0,2023,1.5,624.48
ONIDA,White,28990,3,4.3,29.0,2023,,962.49
MarQ,White,29999,3,4.1,34.0,,,624.48
Blue,White,43990,5,4.2,,,1.5,1123.77
Lloyd,White,34899,3,4.4,44.0,2023,1.5,
Panasonic,,43990,4,4.1,34.0,2023,1.5,686.48
Godrej,White,29292,3,4.6,30.0,2023,,
CARRIER,White,42400,5,3.7,35.0,,,
Lloyd,White,29590,3,4.1,27.0,,1.5,
SAMSUNG,White,34900,3,4.6,42.0,2023,1.5,704.42
Godrej,White,32900,3,4.1,25.0,,1.5,1134.28
CARRIER,White,30490,5,4.3,37.0,,1.5,589.14
Blue,,28799,3,4,44.0,2023,,1015.62
Voltas,White,32490,3,3.8,42.0,2023,,
Voltas,White,34989,3,4.3,41.0,,1.5,968.61
Whirlpool,White,25867,3,4.1,58.0,,1.5,
Haier,,38490,3,3.8,42.0,2023,1.5,1114.71
Voltas,White,55590,5,4.3,35.0,,,1049.79
SAMSUNG,White,29490,3,4.1,42.0,,,752.43
IFB,,40490,3,4.2,24.0,2023,1.6,1123.23
Haier,White,32490,3,4,46.0,,1.2,577.43
Lloyd,White,39999,5,4.2,35.0,,1.5,824.08
Haier,,42990,5,4.8,50.0,2023,1.6,1050.84
SAMSUNG,White,32841,5,4.1,50.0,,1.5,1123.23
LG,,47990,5,4,42.0,2023,1.5,624.48
Daikin,White,44878,5,4.1,33.0,,1.5,962.49
Lloyd,White,39999,5,4.2,35.0,,1.5,624.48
Daikin,White,37270,3,4.3,32.0,,1.5,1123.77
Panasonic,,57990,3,4.1,24.0,2023,,
Godrej,White,32449,3,3.8,33.0,,1.5,686.48
Lloyd,Red,60990,3,,,,1.5,
Hitachi,,42299,5,3.9,42.0,2023,1.5,
ONIDA,White,32900,3,,26.0,2023,1.5,
Lloyd,White,26999,3,4.2,43.0,2023,0.8,704.42
Blue,,37990,5,4.2,38.0,2023,,1134.28
Voltas,White,35760,2,3.7,25.0,2023,,589.14
LG,White,31707,5,4.3,35.0,,1.5,1015.62
SAMSUNG,,38900,3,4.2,38.0,2023,1.5,
Godrej,White,32679,3,4.1,33.0,,1.5,968.61
Blue,White,39990,5,4.7,33.0,,,
Daikin,White,49499,3,4.2,32.0,2023,1.8,1114.71
IFB,White,37600,3,,24.0,,1.5,1049.79
Lloyd,White,34999,3,5,27.0,,1.5,752.43
Godrej,White,31999,3,4,33.0,,1.5,1123.23
Hitachi,Gold,34101,5,4,43.0,,1.5,577.43
LG,,63490,3,4.2,29.0,2023,,824.08
Haier,,30990,3,4,46.0,2023,,1050.84
Panasonic,,54990,4,4.3,28.0,2023,,1123.23
IFB,White,40999,5,3.8,28.0,,1.5,624.48
Daikin,White,33415,3,4.1,27.0,,,962.49
Midea,,51999,5,4,36.0,2023,,624.48
Daikin,White,33790,3,,29.0,,,1123.77
Daikin,White,44444,5,4.3,33.0,,1.5,
Lloyd,White,28990,3,4.3,43.0,,,686.48
ONIDA,White,38490,5,4.3,24.0,2023,1.5,
O,White,41100,,,11.0,,1.1,
Daikin,White,39990,5,3.8,27.0,,,
CARRIER,,38490,4,4.1,43.0,,1.5,704.42
Hitachi,Gold,36999,3,4,22.0,,1.5,1134.28
CANDY,White,26990,3,5,30.0,2023,1.5,589.14
TOSHIBA,White,36593,5,1.5,40.0,,1.5,1015.62
Blue,White,29510,3,4.1,25.0,2023,1.5,
Hitachi,,57999,4,3.7,39.0,2023,1.8,968.61
SAMSUNG,White,31390,3,4.8,48.0,2023,,
SAMSUNG,White,37900,3,3,41.0,2023,1.5,1114.71
Godrej,White,33900,5,4.3,32.0,,,1049.79
Panasonic,White,29139,3,4.4,35.0,,,752.43
Godrej,,31490,3,3.7,30.0,2023,1.4,1123.23
Hitachi,,33999,3,3.7,38.0,2023,,577.43
SAMSUNG,White,40834,5,4.2,39.0,,1.5,824.08
CARRIER,White,67790,3,3.7,,,1.5,1050.84
LG,White,49990,5,,39.0,2023,1.5,1123.23
SAMSUNG,White,32999,3,4.7,48.0,2023,,624.48
CARRIER,White,32999,3,4.3,39.0,,,962.49
CARRIER,White,32999,3,4.3,39.0,,,624.48
Daikin,White,45590,5,,38.0,,1.5,1123.77
Blue,White,31950,3,4.2,37.0,,,
TOSHIBA,White,43910,5,4,40.0,,1.8,686.48
SAMSUNG,,33999,3,4.2,37.0,2023,,
ONIDA,White,31490,3,4.3,28.0,2023,1.5,
Blue,White,35990,3,,41.0,2023,1.5,
Daikin,White,43990,1,,28.0,,1.8,704.42
Lloyd,White,42000,5,4.2,39.0,2023,1.5,1134.28
Hitachi,White,44590,5,,38.0,2023,1.5,589.14
IFB,,29990,2,4.2,25.0,2023,,1015.62
Voltas,White,44200,,,44.0,,,
Daikin,White,31999,3,4.2,8.0,,1.5,968.61
Hitachi,White,36930,3,4,33.0,,1.5,
Panasonic,,49999,5,4.1,34.0,2023,1.5,1114.71
Hitachi,White,42700,5,3.7,40.0,,1.5,1049.79
Daikin,White,40580,3,4.1,27.0,,1.5,752.43
ONIDA,White,29990,3,4.2,38.0,,,1123.23
MarQ,White,25999,3,4,42.0,,0.8,577.43
Voltas,White,44300,5,,37.0,,1.5,824.08
Hitachi,,38499,5,3.7,39.0,2023,,1050.84
Panasonic,White,37500,5,,,,1.5,1123.23
LG,,37990,5,4.2,44.0,2023,,624.48
Voltas,White,38499,4,4.2,44.0,,1.5,962.49
ONIDA,White,29990,3,4.2,38.0,,,624.48
Panasonic,White,37500,5,4.2,,,1.5,1123.77
LG,,37990,5,4.2,44.0,2023,,
Panasonic,White,36586,3,3.6,38.0,,,686.48
SAMSUNG,White,32999,3,4.7,48.0,2023,,
Voltas,White,38499,4,4.2,44.0,,1.5,
Daikin,White,62999,3,,27.0,,2.02,
SAMSUNG,White,56500,3,4.8,10.0,,1.5,704.42
SAMSUNG,White,53539,3,,36.0,2023,,1134.28
Lloyd,White,42599,5,4.1,30.0,,1.5,589.14
SAMSUNG,White,43500,5,4.3,15.0,,,1015.62
Hitachi,White,36990,3,3.8,36.0,,1.5,
MarQ,,24999,3,,43.0,,0.7,968.61
Blue,White,33999,5,4.1,2.0,,,
Lloyd,White,36990,3,3.8,39.0,,1.5,1114.71
Hitachi,White,42240,,,41.0,,1.5,1049.79
Daikin,White,40330,3,,34.0,,1.5,752.43
Hitachi,White,47999,3,4.3,24.0,,1.5,1123.23
Daikin,White,59990,3,4.8,30.0,,2.02,577.43
Daikin,White,39490,3,4.1,32.0,,1.5,824.08
Hitachi,,48999,3,3.7,33.0,2023,1.8,1050.84
Blue,White,51999,3,,18.0,,,1123.23
Hitachi,White,30490,3,4,47.0,,1.5,624.48
LG,,38990,3,4.2,51.0,,1.5,962.49
Lloyd,White,54900,5,4.2,36.0,2023,,624.48
Daikin,White,40330,3,,34.0,,1.5,1123.77
Daikin,White,59990,3,4.8,30.0,,2.02,
Daikin,White,39490,3,4.1,32.0,,1.5,686.48
Hitachi,,48999,3,3.7,33.0,2023,1.8,
Lloyd,White,47000,3,4.2,39.0,2023,,
Hitachi,White,26334,3,4.1,47.0,,1.5,
Lloyd,White,36990,3,3.8,39.0,,1.5,704.42
SAMSUNG,White,36780,3,4.7,39.0,2023,1.5,1134.28
TOSHIBA,White,30798,5,4,38.0,,,589.14
LG,White,49990,5,,39.0,2023,1.5,1015.62
Hisense,White,31990,5,4.2,15.0,,,
Blue,White,31490,3,,39.0,,,968.61
Lloyd,White,36999,5,,26.0,,,
IFB,,41490,4,4.2,24.0,2023,1.5,1114.71
Lloyd,White,49500,3,3.9,28.0,,,1049.79
CARRIER,White,43880,5,4.8,13.0,,1.5,752.43
Daikin,White,33990,,,29.0,,,1123.23
Panasonic,White,38990,3,,35.0,2023,1.5,577.43
MarQ,White,15999,3,4.3,60.0,,,824.08
SAMSUNG,White,36900,3,,41.0,2023,1.5,1050.84
Blue,White,59999,5,4.4,25.0,,,1123.23
LG,White,48990,5,,43.0,2023,1.5,624.48
SAMSUNG,White,45990,5,,11.0,2023,1.5,962.49
Hitachi,White,35549,2,,34.0,,1.5,624.48
Lloyd,White,38975,4,4.4,35.0,,1.5,1123.77
SAMSUNG,White,45990,5,,11.0,2023,1.5,
Voltas,White,35999,3,4.1,47.0,2023,1.5,686.48
Panasonic,White,36139,3,,34.0,2023,1.5,
LG,White,42990,3,4.5,39.0,,1.5,
Blue,White,51490,5,,33.0,,1.5,
MarQ,White,27990,3,4.2,28.0,,1.5,704.42
Daikin,White,52250,3,3.9,17.0,,1.8,1134.28
Lloyd,White,29590,3,4.8,27.0,,1.5,589.14
SAMSUNG,White,64990,4,,,,1.5,1015.62
Panasonic,White,36750,3,4.7,33.0,2023,1.5,
Blue,White,43490,,,37.0,,1.5,968.61
Blue,White,39999,3,4.2,9.0,,,
Blue,White,35699,3,4.1,31.0,,1.5,1114.71
Blue,,39399,2,4.2,24.0,2023,1.5,1049.79
Godrej,White,34899,,,36.0,2023,1.5,752.43
Voltas,White,37449,3,3.7,44.0,,1.5,1123.23
Voltas,White,30449,3,4.2,46.0,2023,,577.43
